First Name,Last Name,Formatted Date
Pete,Babando,1925-05-10
Anton,Babchuk,1984-05-06
Bob,Babcock,1968-08-03
Warren,Babe,1968-09-07
Yuri,Babenko,1978-01-02
Mitch,Babin,1954-12-01
John,Baby,1957-05-18
Dave,Babych,1961-05-23
Wayne,Babych,1958-06-06
Jergus,Baca,1965-01-04
Jason,Bacashihua,1982-09-20
Ryan,Bach,1973-10-21
Richard,Bachman,1987-07-25
Oskar,Back,2000-03-12
David,Backes,1984-05-01
Johan,Backlund,1981-07-24
Mikael,Backlund,1989-03-17
Christian,Backman,1980-04-28
Mike,Backman,1955-01-02
Pete,Backor,1919-04-29
Nicklas,Backstrom,1987-11-23
Niklas,Backstrom,1978-02-13
Ralph,Backstrom,1937-09-18
Brandon,Baddock,1995-03-29
Sven,Baertschi,1992-10-05
Drew,Bagnall,1983-10-26
Kevin,Bahl,2000-06-27
Bob,Bailey,1931-05-29
Casey,Bailey,1991-10-27
Garnet,Bailey,1948-06-13
Irvine,Bailey,1903-07-03
Joshua,Bailey,1989-10-02
Justin,Bailey,1995-07-01
Reid,Bailey,1956-05-28
Scott,Bailey,1972-05-02
Joel,Baillargeon,1964-10-06
Arshdeep,Bains,2001-01-09
Ken,Baird,1951-02-01
Bill,Baker,1956-11-29
Jamie,Baker,1966-08-31
Steve,Baker,1957-05-06
Peter,Bakovic,1965-01-31
Chris,Bala,1978-09-24
Jaroslav,Balastik,1979-11-28
Rudolfs,Balcers,1997-04-08
Helmut,Balderis,1952-06-30
Doug,Baldwin,1922-11-02
Jozef,Balej,1982-02-22
Mike,Bales,1971-08-06
Earl,Balfour,1933-01-04
Murray,Balfour,1936-08-24
Uvis,Balinskis,1996-08-01
Chase,Balisy,1992-02-02
Terry,Ball,1944-11-29
Keith,Ballard,1982-11-26
Maxim,Balmochnykh,1979-03-07
Dave,Balon,1937-08-02
Bryon,Baltimore,1952-08-26
Stan,Baluik,1935-10-05
Carter,Bancks,1989-08-09
Steve,Bancroft,1970-10-06
Jeff,Bandura,1957-04-02
Daniel,Bang,1987-04-19
Frank,Banham,1975-04-14
Darren,Banks,1966-03-18
Murray,Bannerman,1957-04-27
Drew,Bannister,1974-04-09
Nick,Baptiste,1995-08-04
Alexander,Barabanov,1994-06-17
Ralph,Barahona,1965-11-16
Ivan,Baranka,1985-05-19
Ivan,Barbashev,1995-12-14
Andy,Barbe,1923-07-27
Bill,Barber,1952-07-11
Don,Barber,1964-12-02
Riley,Barber,1994-02-07
Mark,Barberio,1990-03-23
Krys,Barch,1980-03-26
Cole,Bardreau,1993-07-22
Bill,Barilko,1927-03-25
Michal,Barinka,1984-06-12
Cam,Barker,1986-04-04
Doug,Barkley,1937-01-06
Aleksander,Barkov,1995-09-02
Bob,Barlow,1935-06-17
Matthew,Barnaby,1973-05-04
Blair,Barnes,1960-09-21
Norm,Barnes,1953-08-24
Ryan,Barnes,1980-01-30
Stu,Barnes,1970-12-25
Scott,Barney,1979-03-27
Marco,Baron,1959-04-04
Murray,Baron,1967-06-01
Normand,Baron,1957-12-15
Dave,Barr,1960-11-30
Tom,Barrasso,1965-03-31
Doug,Barrault,1970-04-21
Alex,Barre-Boulet,1997-05-21
Fred,Barrett,1950-01-26
John,Barrett,1958-07-01
Doug,Barrie,1946-10-02
Len,Barrie,1969-06-04
Tyson,Barrie,1991-07-26
Justin,Barron,2001-11-15
Morgan,Barron,1998-12-02
Eddie,Barry,1919-10-12
Marty,Barry,1904-12-08
Ray,Barry,1928-10-04
Lubos,Bartecko,1976-07-14
Robin,Bartell,1961-05-16
Matt,Bartkowski,1988-06-04
Jim,Bartlett,1932-05-27
Victor,Bartley,1988-02-17
Cliff,Barton,1907-09-03
Peter,Bartos,1973-09-05
Milan,Bartovic,1981-04-09
Oskars,Bartulis,1987-01-21
Mathew,Barzal,1997-05-26
Andre,Bashkirov,1970-06-22
Cody,Bass,1987-01-07
Bob,Bassen,1965-05-06
Hank,Bassen,1932-12-06
Ryan,Bast,1975-08-27
Nathan,Bastian,1997-12-06
Aldege,Bastien,1919-08-29
Shawn,Bates,1975-04-03
Frank,Bathe,1954-09-27
Drake,Batherson,1998-04-27
Andy,Bathgate,1932-08-28
Frank,Bathgate,1930-02-14
Bates,Battaglia,1975-12-13
Jeff,Batters,1970-10-23
Ruslan,Batyrshin,1975-02-19
Bobby,Bauer,1915-02-16
Gary,Bauman,1940-07-21
Ken,Baumgartner,1966-03-11
Mike,Baumgartner,1949-01-30
Nolan,Baumgartner,1976-03-23
Bob,Baun,1936-09-09
Kyle,Baun,1992-05-04
Sergei,Bautin,1967-03-11
Robin,Bawa,1966-03-26
Paul,Baxter,1955-10-28
Ryan,Bayda,1980-12-09
Gavin,Bayreuther,1994-05-12
Sandy,Beadle,1960-07-12
Jay,Beagle,1985-10-16
Jake,Bean,1998-06-09
Ethan,Bear,1997-06-26
Frank,Beaton,1953-04-28
Jack,Beattie,1907-10-02
Francois,Beauchemin,1980-06-04
Jean-Christophe,Beaudin,1997-03-25
Nicolas,Beaudin,1999-10-07
Norm,Beaudin,1941-11-28
Eric,Beaudoin,1980-05-03
Serge,Beaudoin,1952-10-30
Yves,Beaudoin,1965-01-07
Mark,Beaufait,1970-05-13
Nathan,Beaulieu,1992-12-05
Don,Beaupre,1961-09-19
Stephane,Beauregard,1968-01-10
Anthony,Beauvillier,1997-06-08
Barry,Beck,1957-06-03
Owen,Beck,2004-02-03
Taylor,Beck,1991-05-13
Bob,Beckett,1936-04-08
Chris,Beckford-Tseu,1984-06-22
Adam,Beckman,2001-05-10
Connor,Bedard,2005-07-17
Jim,Bedard,1927-11-19
Jim,Bedard,1956-11-17
Clayton,Beddoes,1970-11-10
Jaroslav,Bednar,1976-11-09
John,Bednarski,1952-07-04
Kris,Beech,1981-02-05
John,Beecher,2001-04-05
Bob,Beers,1967-05-20
Ed,Beers,1959-10-12
Steve,Begin,1978-06-14
Clarence,Behling,1915-03-16
Marc,Behrend,1961-01-11
Frank,Beisler,1913-10-18
Derek,Bekar,1975-09-15
Wade,Belak,1976-07-03
Alain,Belanger,1956-01-18
Eric,Belanger,1977-12-16
Francis,Belanger,1978-01-15
Jesse,Belanger,1969-06-15
Ken,Belanger,1974-05-14
Roger,Belanger,1965-12-01
Yves,Belanger,1952-09-30
Matt,Beleskey,1988-06-07
Ed,Belfour,1965-04-21
Michel,Belhumeur,1949-09-02
Dan,Belisle,1937-05-09
Jean,Beliveau,1931-08-31
Billy,Bell,1891-06-10
Brendan,Bell,1983-03-31
Bruce,Bell,1965-02-15
Gordon,Bell,1925-03-13
Harry,Bell,1925-10-31
Joe,Bell,1923-11-27
Mark,Bell,1980-08-05
Neil,Belland,1961-04-03
Shawn,Belle,1985-01-03
Blake,Bellefeuille,1977-12-27
Pete,Bellefeuille,1901-10-19
Pierre-Edouard,Bellemare,1985-03-06
Andy,Bellemer,1903-07-03
Brett,Bellemore,1988-06-25
Brian,Bellows,1964-09-01
Kieffer,Bellows,1998-06-10
Anton,Belov,1986-07-29
Louie,Belpedio,1996-05-14
Alex,Belzile,1991-08-31
Emil,Bemstrom,1999-06-01
Linthwaite,Bend,1922-12-20
Jan,Benda,1972-04-28
Clint,Benedict,1892-09-26
Matty,Beniers,2002-11-05
Jamie,Benn,1989-07-18
Jordie,Benn,1987-07-26
Adam,Bennett,1971-03-30
Beau,Bennett,1991-11-27
Bill,Bennett,1953-05-31
Curt,Bennett,1948-03-27
Frank,Bennett,1922-03-04
Harvey,Bennett,1925-07-23
Harvey,Bennett,1952-08-09
Max,Bennett,1912-11-04
Rick,Bennett,1967-07-24
Sam,Bennett,1996-06-20
Brian,Benning,1966-06-10
Jim,Benning,1963-04-29
Matt,Benning,1994-05-25
Andre,Benoit,1984-01-06
Joe,Benoit,1916-02-27
Simon,Benoit,1998-09-19
Bill,Benson,1920-07-29
Bobby,Benson,1894-05-18
Tyler,Benson,1998-03-15
Zachary,Benson,2005-05-12
Sean,Bentivoglio,1985-10-16
Doug,Bentley,1916-09-03
Max,Bentley,1920-03-01
Reg,Bentley,1914-05-03
Ladislav,Benysek,1975-03-24
Paul,Beraldo,1967-10-05
Josef,Beranek,1969-10-25
Brett,Berard,2002-09-09
Bryan,Berard,1977-03-05
Drake,Berehowsky,1972-01-03
Gordon,Berenson,1939-12-08
Andrew,Berenzweig,1977-08-08
Perry,Berezan,1964-12-05
Sergei,Berezin,1971-11-05
Aki-Petteri,Berg,1977-07-28
Bill,Berg,1967-10-21
Todd,Bergen,1963-07-11
Sean,Bergenheim,1984-02-08
Mike,Berger,1967-06-02
Jean-Claude,Bergeron,1968-10-14
Marc-Andre,Bergeron,1980-10-13
Michel,Bergeron,1954-11-11
Patrice,Bergeron,1985-07-24
Yves,Bergeron,1952-01-11
Marc,Bergevin,1965-08-11
Nicklas,Bergfors,1987-03-07
Jonatan,Berggren,2000-07-16
Stefan,Bergkvist,1975-03-10
Tim,Bergland,1965-01-11
Bob,Bergloff,1958-07-26
Bo,Berglund,1955-04-06
Christian,Berglund,1980-03-12
Patrik,Berglund,1988-06-02
Gary,Bergman,1938-10-07
Thommie,Bergman,1947-12-10
Lean,Bergmann,1998-10-04
Jonas,Bergqvist,1962-09-26
Adam,Berkhoel,1981-05-16
Matt,Berlin,1998-01-20
Jacob,Bernard-Docker,2000-06-30
Tim,Bernhardt,1958-01-17
Tim,Berni,2000-02-11
Jonathan,Bernier,1988-08-07
Serge,Bernier,1947-04-29
Steve,Bernier,1985-03-31
Reto,Berra,1987-01-03
Bob,Berry,1943-11-29
Brad,Berry,1965-04-01
Doug,Berry,1957-06-03
Fred,Berry,1956-03-26
Ken,Berry,1960-06-21
Rick,Berry,1978-11-04
Daniel,Berthiaume,1966-01-26
Adam,Berti,1986-07-01
Eric,Bertrand,1975-04-16
Christoph,Bertschy,1994-04-05
Todd,Bertuzzi,1975-02-02
Tyler,Bertuzzi,1995-02-24
Craig,Berube,1965-12-17
J.F.,Berube,1991-07-13
Phil,Bessler,1913-12-09
Pete,Bessone,1913-01-13
Allan,Bester,1964-03-26
John,Bethel,1957-01-15
Karel,Betik,1978-10-28
Maxim,Bets,1974-01-31
Silvio,Bettio,1928-12-01
Blair,Betts,1980-02-16
Jeff,Beukeboom,1965-03-28
Bill,Beveridge,1909-07-01
Nick,Beverley,1947-04-21
Goran,Bezina,1980-03-21
Dwight,Bialowas,1952-09-08
Frank,Bialowas,1970-09-25
Wayne,Bianchin,1953-09-06
Antoine,Bibeau,1994-05-01
Paul,Bibeault,1919-04-13
Radim,Bicanek,1975-01-18
Jiri,Bicek,1978-12-03
Lian,Bichsel,2004-05-18
Stu,Bickel,1986-10-02
Bryan,Bickell,1986-03-09
Todd,Bidner,1961-07-05
Alex,Biega,1988-04-04
Danny,Biega,1991-09-29
Kevin,Bieksa,1981-06-16
Zac,Bierk,1976-09-17
Don,Biggs,1965-07-04
Larry,Bignell,1950-01-07
Chris,Bigras,1995-02-22
Craig,Billington,1966-09-11
Chad,Billins,1989-05-26
Gilles,Bilodeau,1955-07-31
Andre,Binette,1933-12-02
Les,Binkley,1934-06-06
Jordan,Binnington,1993-07-11
Jack,Bionda,1933-09-18
Brandon,Biro,1998-03-11
Martin,Biron,1977-08-15
Mathieu,Biron,1980-04-29
Sebastien,Bisaillon,1986-12-08
Jake,Bischoff,1994-07-25
Mike,Bishai,1979-05-30
Ben,Bishop,1986-11-21
Clark,Bishop,1996-03-29
Tom,Bissett,1966-03-13
Paul,Bissonnette,1985-03-11
Anthony,Bitetto,1990-07-15
Will,Bitten,1998-07-10
Dick,Bittner,1922-01-02
Byron,Bitz,1984-07-21
Anders,Bjork,1996-08-05
Marcus,Bjork,1997-11-24
Kasper,Bjorkqvist,1997-07-10
Oliver,Bjorkstrand,1995-04-10
Tobias,Bjornfot,2001-04-06
Nick,Bjugstad,1992-07-17
Scott,Bjugstad,1961-06-02
James,Black,1969-08-03
Steve,Black,1927-03-31
Bob,Blackburn,1938-02-01
Dan,Blackburn,1983-05-20
Don,Blackburn,1938-05-14
Jesse,Blacker,1991-04-19
Colin,Blackwell,1993-03-28
Mackenzie,Blackwood,1996-12-09
Hank,Blade,1921-04-28
Tom,Bladon,1952-12-29
Garry,Blaine,1933-04-19
Andrew,Blair,1908-02-27
Chuck,Blair,1928-07-23
George,Blair,1929-09-15
Sammy,Blais,1996-06-17
Mike,Blaisdell,1960-01-18
Bob,Blake,1914-08-16
Hector,Blake,1912-08-21
Jackson,Blake,2003-08-03
Jason,Blake,1973-09-02
Mickey,Blake,1912-10-31
Mike,Blake,1956-04-06
Rob,Blake,1969-12-10
Nicolas,Blanchard,1987-05-31
Joseph,Blandisi,1994-07-18
Nick,Blankenburg,1998-05-12
Zdenek,Blatny,1981-01-14
Joachim,Blichfeld,1998-07-17
Anton,Blidh,1995-03-14
Rick,Blight,1955-10-17
Russ,Blinco,1908-03-12
Mario,Bliznak,1987-03-06
Ken,Block,1944-03-18
Jeff,Bloemberg,1968-01-31
Joel,Blomqvist,2002-01-10
Timo,Blomqvist,1961-01-23
Arto,Blomsten,1965-03-16
Mike,Bloom,1952-04-12
Sylvain,Blouin,1974-05-21
John,Blue,1966-02-19
Teddy,Blueger,1994-08-15
John,Blum,1959-10-08
Jonathon,Blum,1989-01-30
Matej,Blumel,2000-05-31
Mike,Blunden,1986-12-15
Sergei,Bobrovsky,1988-09-20
Brandon,Bochenski,1982-04-04
Bob,Bodak,1961-05-28
Gregg,Boddy,1949-03-19
Doug,Bodger,1966-06-18
Troy,Bodie,1985-01-25
Gus,Bodnar,1925-08-24
Andrew,Bodnarchuk,1988-07-11
Mikkel,Boedker,1989-12-16
Ron,Boehm,1943-08-14
Garth,Boesch,1920-10-07
Brock,Boeser,1997-02-25
Zach,Bogosian,1990-07-15
Eric,Boguniecki,1975-05-06
Rick,Boh,1964-05-18
Lonny,Bohonos,1973-05-20
Alexandre,Boikov,1975-02-07
Marc,Boileau,1932-09-03
Patrick,Boileau,1975-02-22
Rene,Boileau,1904-05-18
Fred,Boimistruck,1962-01-14
Danny,Bois,1983-06-01
Gilles,Boisvert,1933-02-15
Serge,Boisvert,1959-06-01
Claude,Boivin,1970-03-01
Leo,Boivin,1931-08-02
Mike,Boland,1949-12-16
Mike,Boland,1954-10-29
Ivan,Boldirev,1949-08-15
Alexandre,Bolduc,1985-06-26
Dan,Bolduc,1953-04-06
Michel,Bolduc,1961-03-13
Samuel,Bolduc,2000-12-09
Zachary,Bolduc,2003-02-24
Matthew,Boldy,2001-04-05
Frank,Boll,1911-03-06
Jared,Boll,1986-05-13
Dave,Bolland,1986-06-05
Brandon,Bollig,1987-01-31
Larry,Bolonchuk,1952-02-26
Hugh,Bolton,1929-04-15
Brad,Bombardir,1972-05-05
Dan,Bonar,1956-09-23
Peter,Bondra,1968-02-07
Brian,Bonin,1973-11-28
Marcel,Bonin,1931-09-17
Nick,Bonino,1988-04-20
Radek,Bonk,1976-01-09
Ryan,Bonni,1979-02-18
Jason,Bonsignore,1976-04-15
Dennis,Bonvie,1973-07-23
Jim,Boo,1954-11-12
Derek,Boogaard,1982-06-23
Carl,Boone,1932-09-11
David,Booth,1984-11-24
